feature,0_1,0_2,1_2
queryLength,2.583619369032773e-15,3.733570634350892e-18,0.09948636911660075
queryStringLength,0.00018033421980637214,2.1481217913521015e-11,0.0001959857005472333
numCols,0.001150777931208138,1.780390043672522e-10,0.002452176989251189
numRows,0.022249798179417368,9.826997732834786e-09,0.00046636677482231326
firstColHits,0.0010464486107062154,0.001127258068800592,2.442987457273031e-06
secondColHits,0.026377923985423855,0.0002549024176981327,0.06268149684199364
pageTitle_idf,1.1309566908086849e-21,1.8016156221912584e-33,0.000747770711712421
sectionTitle_idf,8.981562268163637e-10,4.373664283752538e-27,0.00020669697478251038
tableCaption_idf,3.9998964325552e-13,5.247220454615281e-29,0.001944958791011675
tableHeading_idf,5.268067190322188e-16,2.039226016107797e-17,0.10608521694952355
tableBody_idf,0.01677300087354098,0.00018881304145759031,0.2696566492200796
all_idf,5.453799564195434e-05,1.1440501453590663e-20,0.00011157394784603558
earlyWE,6.161810681400589e-21,6.35267761515122e-17,0.21533273402211695
late-maxWE,0.043026569697478756,0.035213373433028196,0.3524311288247566
late-avgWE,8.314064534705484e-26,1.7540255570666318e-10,0.07401248520217943
late-sumWE,0.057812508266830466,0.060522589817908375,0.44174391348643705
cearly,5.8330395202850494e-18,1.1948931198955422e-15,0.38371409066111994
cmax,3.3876966196125013e-15,6.922284468055103e-14,0.47515469682727624
csum,2.576781910862666e-14,4.186888275469776e-13,0.47854785062008415
cavg,3.29795356299265e-19,2.83603089964251e-17,0.47241890181789703
google_early,3.887251482819148e-29,1.8616399274211448e-32,0.0021222435173030955
google_late_max,0.08162301046932363,0.04163273292350612,0.29343352550321
google_late_avg,6.405997975420748e-35,2.004419495809102e-31,0.06275743410103428
google_late_sum,0.009209268397858026,0.0006015619235500314,0.1786387720767818
eearly,0.38015294294233987,0.2679941830987168,0.2829596596576821
emax,0.09850730513878231,0.29911629797501466,0.3510311837595417
esum,0.0020982630320006642,6.702583518821532e-06,0.10128781825559968
eavg,0.030445226195745797,0.07308194022723806,0.42834426375933676
rdf_early,8.96201648035592e-14,5.092718425910283e-07,0.09331346928082779
rdf_late_max,1.5081217217738482e-19,5.1699672281553765e-21,0.4160554319644817
rdf_late_sum,0.005512234310866259,0.4015360481521153,0.013238378308136418
rdf_late_avg,2.7531312246153037e-15,8.093583912686705e-09,0.15514546014222064
